Municipio;Codigo;Orden;U. Genera;Ejecucion;Duracion Odt;latitud;longitud
TUQUERRES;8564588;25702981;Ges. Energetica;2023-04-29 09:41;00:39 Min;1.0858759;-77.6192369
TUQUERRES;8564590;25703005;Ges. Energetica;2023-04-29 09:57;00:26 Min;1.0878202;-77.607719
TUQUERRES;8564591;25703026;Ges. Energetica;2023-04-27 19:16;38:41 Min;1.0878382;-77.6076865
ILES;8564592;25703092;Ges. Energetica;2023-04-27 11:50;01:58 Min;0.9655398;-77.4933312
GUAITARILLA;8564595;25703123;Ges. Energetica;2023-04-27 11:27;01:31 Min;1.1411255;-77.4842833
SAPUYES;8564599;25703161;Ges. Energetica;2023-04-27 09:51;01:16 Min;1.0565852;-77.6846013
SAPUYES;8564600;25703196;Ges. Energetica;2023-04-27 16:50;00:59 Min;1.0602871179580688;-77.69085693359375
MALLAMA;1239867;25703340;Facturacion;2023-04-27 15:34;00:23 Min;1.1874388;-77.9658856
IMUES;1170205;25718544;Facturacion;2023-05-05 14:43;00:14 Min;1.0512926;-77.4534611
TUQUERRES;8559287;25718552;Facturacion;2023-04-27 16:23;00:19 Min;1.0849272;-77.5943894
TUQUERRES;329672;25718560;Facturacion;2023-04-27 17:09;00:16 Min;1.0842222;-77.5988039
IMUES;1240593;25718562;Facturacion;2023-05-05 09:05;00:57 Min;1.0681507;-77.4693459
IMUES;1268255;25718567;Facturacion;2023-05-05 12:06;00:13 Min;1.0686743;-77.4713407
IMUES;8537487;25718569;Facturacion;2023-05-05 10:11;00:17 Min;1.0663313;-77.4694815
SAPUYES;326388;25718570;Ges. Energetica;2023-04-27 15:22;01:05 Min;1.0466743;-77.6918989
SAPUYES;326390;25718571;Ges. Energetica;2023-04-27 13:06;01:10 Min;1.0465066;-77.6920395
IMUES;1063778;25718577;Facturacion;2023-05-05 10:51;00:32 Min;1.0637483;-77.4630565
IMUES;1136366;25718580;Facturacion;2023-05-05 09:24;00:21 Min;1.0562954;-77.4549005
SAPUYES;443486;25718585;Ges. Energetica;2023-04-27 14:18;00:59 Min;1.0465085;-77.6918942
TUQUERRES;1041651;25718617;Facturacion;2023-04-27 17:56;01:03 Min;1.0905997;-77.6133115
RICAURTE;1047233;25718647;Facturacion;2023-04-27 11:54;01:17 Min;1.2020979;-77.9781261
RICAURTE;421428;25718665;Facturacion;2023-04-27 16:45;00:37 Min;1.1765784;-77.9674396
TUQUERRES;1105319;25719021;Facturacion;2023-04-27 17:34;00:18 Min;1.087054;-77.6137875
TUQUERRES;1049645;25742695;Facturacion;2023-05-03 15:29;00:06 Min;1.1210614;-77.6602831
TUQUERRES;8564660;25745461;Ges. Energetica;2023-04-29 08:25;00:43 Min;1.0881653;-77.6207854
TUQUERRES;8564661;25745503;Ges. Energetica;2023-04-29 08:43;01:39 Min;1.0876425;-77.6107582
TUQUERRES;8546618;25745518;Facturacion;2023-05-02 10:41;00:24 Min;1.0850977;-77.6128825
TUQUERRES;8564662;25745527;Ges. Energetica;2023-04-29 10:24;00:45 Min;1.0876952;-77.6107574
TUQUERRES;300864;25745530;Facturacion;2023-05-02 11:43;00:23 Min;1.0880217;-77.621099
TUQUERRES;8554224;25745574;Facturacion;2023-05-02 15:48;00:47 Min;1.0841686;-77.6337843
IMUES;8564664;25745661;Ges. Energetica;2023-05-04 10:32;01:09 Min;1.0626922;-77.4720476
TUQUERRES;1128486;25745763;Facturacion;2023-04-29 08:46;00:15 Min;1.0886306;-77.6125591
TUQUERRES;302750;25745776;Facturacion;2023-04-29 09:02;00:15 Min;1.0886799;-77.6124959
