Codigo;Orden;latitud;longitud
8561519;24177812;1.590739;-77.1343864
8561522;24177890;1.6763577;-77.3273793
8561524;24177918;1.676375;-77.3273413
8561525;24177962;1.672564;-77.3303314
8561526;24178064;1.6751963;-77.3295281
8561580;24205694;1.5703778;-77.2811296
8561584;24205841;1.5894758;-77.1333053
8561585;24205966;1.6842837;-77.3235134
8561587;24206000;1.6841179;-77.3231049
8561588;24206051;1.5928715;-77.1280755
1109272;24206055;1.5854266;-77.3555497
8561593;24206213;1.5928872;-77.1281094
8561594;24206231;1.6766869;-77.3281877
8561595;24206243;1.676712;-77.3281954
8561596;24206263;1.676181;-77.3275054
1146455;24208986;1.593488;-77.1309752
352618;24209414;1.5973229;-77.1299112
1222065;24209431;1.6277923;-77.138722
8561610;24238305;1.6685476;-77.3334153
8561628;24246845;1.6022615;-77.1300849
537089;24246864;1.5972829;-77.1296811
353478;24246941;1.6081086;-77.1302286
8561636;24246998;1.5721433;-77.2824015
8561639;24260517;1.5809257;-77.3143029
538469;24260572;1.5915016;-77.1324977
8561646;24260669;1.5697746;-77.2837569
1111623;24261087;1.6641728;-77.1268971
351342;24261314;1.6070792;-77.1327983
8561672;24261359;1.5708635;-77.2800702
8561673;24261411;1.649029;-77.1084907
512994;24261626;1.6011234;-77.1308103
8561679;24261629;1.5910689;-77.134442
1008058;24261914;1.6125228;-77.132649
1034728;24263334;1.6086578;-77.1294065
8537588;24263957;1.5692554;-77.1712812
1027398;24263998;1.6068683;-77.1312476
1237499;24264470;1.5916955;-77.1325544
1082225;24264654;1.6200485;-77.1431697
452508;24281324;1.637152;-77.1617576
622412;24281344;1.6343403;-77.2226662
1057488;24281873;1.5772988;-77.1630911
8561749;24281992;1.6120676;-77.1309931
8561750;24282039;1.6087491;-77.1325696
8561752;24282128;1.6401805;-77.1511901
8561780;24313381;1.6071511;-77.1320158
8561783;24313441;1.5995163;-77.1273489
1068678;24313728;1.5481321;-77.1132753
1065893;24313733;1.453592;-77.1103184
1009474;24313739;1.6148098;-77.1693224
1089942;24313753;1.5732857;-77.1988833
405956;24313881;1.5887144;-77.1372467
8561791;24313927;1.5754256;-77.2373944
8561796;24314048;1.5756154;-77.2374663
351630;24339536;1.6027651;-77.1325377
467186;24339540;1.6028328;-77.1325461
352748;24339570;1.599129;-77.1308172
1038891;24339598;1.4989683;-77.100262
1092704;24339644;1.6006239;-77.1318701
1220254;24339861;1.6069864;-77.1309573
8561866;24340929;1.607151;-77.1320119
8561869;24341070;1.4685432;-77.1505562
8561873;24341127;1.4631807;-77.1062328
8561879;24341259;1.4520711;-77.105533
8561881;24341326;1.6071446;-77.1320062
1225015;24369767;1.6122954;-77.1317925
8561891;24369882;1.5204082;-77.0843761
604909;24369926;1.5490929;-77.2686489
8561907;24382893;1.4616917;-77.1961428
8543903;24398502;1.4629391;-77.1059415
8561908;24398571;1.6115504;-77.120793
1251636;24399119;1.5077368;-77.217343
8561924;24399457;1.6144657;-77.13004
8561926;24399481;1.4987209;-77.0960128
8561931;24399540;1.4569617;-77.1637428
8561935;24399608;1.4848029;-77.1266852
8561936;24400670;1.5966543;-77.1309933
541900;24401660;1.6096665;-77.129579
1242787;24427120;1.5555293;-77.1180102
352240;24432640;1.5912611;-77.1330386
1217142;24432745;1.5923737;-77.1944412
8562069;24432881;1.6120376;-77.1328693
8562078;24433255;1.6094581;-77.1293962
