Codigo;Orden;latitud;longitud
1044186;24264580;1.5922951,-77.0496633;
195572;24264593;1.387766,-77.1387856;
363572;24264600;1.6563677,-76.9763327;
1035123;24264605;1.327498,-77.0222975;
1012521;24264613;1.3288328,-77.0096735;
371816;24264626;1.5956112,-77.0147623;
1029102;24264634;1.372676,-77.1215951;
463652;24264639;1.3883126,-77.1343166;
520202;24264643;1.5704309,-76.9288363;
514069;24264719;1.5139417,-77.0473622;
193330;24264723;1.5138718,-77.0474056;
8561723;24281378;1.6642216,-77.0600892;
1099343;24281456;1.6805968,-77.0313614;
8561725;24281542;1.6430212,-77.0194104;
8561730;24281660;1.6455742,-77.0201223;
8561735;24281725;1.5147746,-77.048363;
8561742;24281781;1.6785085,-77.0426457;
8561743;24281851;1.6790055,-77.0337889;
8561747;24281938;1.6836784,-77.0501421;
456390;24313417;1.5165161,-77.0463669;
1070672;24313419;1.5165192,-77.0463382;
1215201;24313423;1.516563,-77.0464378;
552659;24313846;1.6848738,-76.9508971;
8561794;24314005;1.6508195,-77.0655079;
470474;24314583;1.5773818,-76.9918763;
534399;24314597;1.6035779,-76.9725582;
1169290;24314605;1.5970064,-77.0135252;
8561350;24339012;1.4493025,-77.0456;
375200;24339292;1.6060051,-77.0798313;
8561831;24339406;1.580562,-76.9636327;
8561832;24339445;1.5083721,-77.0501978;
8561833;24339469;1.6020755,-76.9666928;
8561834;24339520;1.5164717,-77.0686323;
8561835;24339651;1.5145054,-77.0484872;
8561836;24339707;1.6019518,-76.9665549;
1229803;24339750;1.6702049,-77.0097327;
1229804;24339753;1.6702206,-77.009779;
8561837;24339757;1.5708238,-77.0113813;
1127511;24339762;1.6702158,-77.0097236;
8561839;24339818;1.5787262,-76.9678266;
8561840;24339846;1.6366433,-76.9669111;
8561842;24339888;1.6062371,-77.0137949;
8561857;24340699;1.5961278,-77.0127038;
8561858;24340730;1.5956095,-77.0104656;
8561859;24340772;1.4769386,-77.0164007;
8561861;24340814;1.5707143,-77.0113946;
8561862;24340838;1.4757971,-77.0189448;
1062602;24343597;1.6634597,-77.0595827;
363136;24343603;1.6635525,-77.059572;
363182;24343610;1.663405,-77.0596487;
8534962;24343613;1.663461,-77.0595263;
371352;24344180;1.596453,-77.01604;
1034456;24346091;1.5960914,-77.0126091;
476318;24348096;1.5970197,-77.0148581;
371396;24361637;1.5969889,-77.0147681;
1162941;24364882;1.5930042,-77.0156507;
1152780;24367023;1.593065,-77.0157347;
1024276;24367615;1.4939752,-77.071781;
1002773;24369832;1.600763,-76.9739729;
1104586;24369839;1.6045767,-76.9653635;
8555706;24369844;1.6030329,-76.9671993;
1041056;24370102;1.5999122,-76.9690218;
8532366;24398637;1.4453423,-77.0794421;
1161032;24398830;1.602649,-76.9664181;
1176973;24398851;1.6025966,-76.9659818;
1154235;24399033;1.6023577,-76.9667414;
1122224;24399036;1.6142811,-76.9909438;
425932;24399273;1.4746989,-77.0805305;
192926;24399283;1.4746479,-77.0805251;
574798;24429736;1.493219,-76.9928452;
1116892;24430972;1.6235744,-77.0668454;
1240612;24431028;1.6645673,-77.0013655;
361680;24431471;1.6677133,-77.0125796;
370212;24431637;1.5982305,-76.969979;
1002762;24431661;1.6003982,-76.9737758;
1039219;24431669;1.6000305,-76.9735774;
638895;24431676;1.6002525,-76.9735463;
633207;24431681;1.6002288,-76.9735229;
8553619;24431697;1.6011718,-76.9687295;
371162;24431706;1.6010469,-76.9688647;
371068;24431712;1.6009913,-76.9688641;
8562055;24431863;1.6407775,-77.0335403;
8562057;24431916;1.4002625,-77.1238816;
8562058;24431951;1.5186825,-77.0462843;
8562059;24431992;1.4840221,-77.0476188;
1204857;24432140;1.6703287,-77.0115255;
1204860;24432152;1.6703156,-77.0115421;
1088326;24432164;1.6702083,-77.011628;
1127731;24432170;1.6702038,-77.0115748;
362152;24432185;1.6701447,-77.0116141;
1216053;24432540;1.3972751,-77.0285158;
1002791;24432546;1.3252987,-76.9935247;
1116870;24432552;1.5817233,-77.0161112;
434196;24432554;1.5818175,-77.016075;
1002724;24432556;1.3292172,-77.0106913;
1012423;24432559;1.3293238,-77.0099434;
1147170;24432563;1.3253849,-76.993294;
8562067;24432739;1.6643997,-77.0238155;
370592;24433072;1.6015606,-76.9709163;
1120050;24433117;1.5961348,-77.0172356;
8520151;24433303;1.4783794,-77.0190404;
643832;24433306;1.5926519,-77.0567444;
1181369;24433389;1.6670897,-77.0140563;
8562089;24433689;1.4030527,-77.0463553;
1048734;24453493;1.6246962,-77.0673555;
1002811;24453823;1.3309805,-77.0127736;
1059504;24453843;1.6079977,-77.0158734;
1104991;24454139;1.6708999,-77.0115387;
8540174;24454149;1.6711075,-77.0120879;
506116;24454382;1.6708882,-77.0115578;
1171243;24454405;1.4769493,-77.0164261;
372344;24454425;1.5636573,-77.0151149;
8562105;24454545;1.6105237,-76.9545265;
8562106;24454596;1.6041009,-76.9656514;
8562107;24454605;1.6520619,-76.9758409;
1225347;24454723;1.5650873,-77.0050598;
409228;24454906;1.3952469,-77.0268082;
1157602;24454932;1.4204617,-77.1190747;
1239443;24455413;1.4746435,-77.080508;
8562122;24455758;1.669756,-77.0095965;
8520149;24458762;1.5809529,-77.0229195;
372378;24458779;1.5706503,-77.0107648;
1236786;24458794;1.5682283,-77.0058099;
1268614;24458820;1.6426816,-77.0184275;
1268613;24458843;1.6426797,-77.0183867;
8560340;24473448;1.6426647,-77.0183731;
8560342;24473464;1.6426892,-77.0183104;
1119811;24473728;1.6714476,-77.0127297;
1036620;24473762;1.447188,-77.0452056;
8541585;24473892;1.4785683,-77.0189187;
196000;24473979;1.4786139,-77.0188367;
574800;24474066;1.4785176,-77.0188748;
597858;24474132;1.6033533,-77.0803507;
8562147;24474471;1.6451579,-77.0215378;
8562183;24479274;1.6718307,-77.0146807;
1170436;24502611;1.6372219,-77.0942324;
1209873;24502786;1.6058416,-76.973979;
1175606;24503753;1.620205,-77.0828738;
445520;24503800;1.6769191,-76.9294181;
1198193;24506801;1.6328671,-76.9557935;
193238;24535249;1.5168861,-77.0454607;
569030;24535270;1.5169954,-77.0457664;
1037210;24535293;1.5169927,-77.0457435;
1036537;24535367;1.6457973,-77.0199087;
372414;24535403;1.5683484,-77.0093204;
372412;24535422;1.5687902,-77.0090934;
372402;24535441;1.569085,-77.0094096;
369882;24535497;1.601549,-76.971191;
1167273;24535525;1.5788407,-76.9656113;
8562243;24535619;1.5150952,-77.048472;
372452;24536048;1.5694612,-77.0105278;
8557062;24536664;1.6454514,-77.0227703;
8557063;24536683;1.6454727,-77.0228071;
